,Institute Code,College Name,College Category,Latitude,Longitude,State,Website,View Details,Degree,Branch Cluster,Program Code,Branch Name,Degree Duration,Aggregated Seats,Mode of Admission
0,101,Indian Institute of Technology Bhubaneswar,IIT,20.1483345,85.6712472,Odisha,www.iitbbs.ac.in,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=101,Bachelor of Technology,Civil Engineering,4109,Civil Engineering,4 Years,110,JEE Advanced
1,101,Indian Institute of Technology Bhubaneswar,IIT,20.1483345,85.6712472,Odisha,www.iitbbs.ac.in,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=101,Bachelor of Technology,Computer Science and Engineering (CSE),4110,Computer Science and Engineering,4 Years,82,JEE Advanced
2,101,Indian Institute of Technology Bhubaneswar,IIT,20.1483345,85.6712472,Odisha,www.iitbbs.ac.in,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=101,Bachelor of Technology,Electrical and Electronics Engineering (EEE),4111,Electrical Engineering,4 Years,81,JEE Advanced
3,101,Indian Institute of Technology Bhubaneswar,IIT,20.1483345,85.6712472,Odisha,www.iitbbs.ac.in,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=101,Bachelor of Technology,Electronics and Communication Engineering (ECE),4114,Electronics and Communication Engineering,4 Years,54,JEE Advanced
4,101,Indian Institute of Technology Bhubaneswar,IIT,20.1483345,85.6712472,Odisha,www.iitbbs.ac.in,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=101,Bachelor of Technology,Physics,4117,Engineering Physics,4 Years,20,JEE Advanced
5,101,Indian Institute of Technology Bhubaneswar,IIT,20.1483345,85.6712472,Odisha,www.iitbbs.ac.in,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=101,Bachelor of Technology,Mechanical Engineering,4125,Mechanical Engineering,4 Years,109,JEE Advanced
6,101,Indian Institute of Technology Bhubaneswar,IIT,20.1483345,85.6712472,Odisha,www.iitbbs.ac.in,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=101,Bachelor of Technology,Metallurgical and Materials Engineering,4127,Metallurgical and Materials Engineering,4 Years,40,JEE Advanced
7,102,Indian Institute of Technology Bombay,IIT,19.1330605,72.9151061,Maharashtra,www.iitb.ac.in,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=102,Bachelor of Technology,Aerospace / Aeronautical Engineering,4101,Aerospace Engineering,4 Years,71,JEE Advanced
8,102,Indian Institute of Technology Bombay,IIT,19.1330605,72.9151061,Maharashtra,www.iitb.ac.in,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=102,Bachelor of Technology,Chemical Engineering,4107,Chemical Engineering,4 Years,123,JEE Advanced
9,102,Indian Institute of Technology Bombay,IIT,19.1330605,72.9151061,Maharashtra,www.iitb.ac.in,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=102,Bachelor of Technology,Civil Engineering,4109,Civil Engineering,4 Years,130,JEE Advanced
10,102,Indian Institute of Technology Bombay,IIT,19.1330605,72.9151061,Maharashtra,www.iitb.ac.in,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=102,Bachelor of Technology,Energy and Environment,410U,Environmental Science and Engineering,4 Years,37,JEE Advanced
11,102,Indian Institute of Technology Bombay,IIT,19.1330605,72.9151061,Maharashtra,www.iitb.ac.in,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=102,Bachelor of Technology,Computer Science and Engineering (CSE),4110,Computer Science and Engineering,4 Years,170,JEE Advanced
12,102,Indian Institute of Technology Bombay,IIT,19.1330605,72.9151061,Maharashtra,www.iitb.ac.in,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=102,Bachelor of Technology,Electrical and Electronics Engineering (EEE),4111,Electrical Engineering,4 Years,90,JEE Advanced
