,Institute Code,College Name,College Category,Program Code,Academic Program Name,Seat Capacity,State/All India Seats,View Details,Branch Cluster,Degree Duration,Degree,Degree_Raw,Degree Name,Aggregated Seats,Quota,Row Count
0,101,Indian Institute of Technology Bhubaneswar,IIT,4109,"Civil Engineering (4 Years, Bachelor of Technology)",110,All India ,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=101,Civil Engineering,4 Years,Bachelor of Technology,Bachelor of Technology,Civil Engineering,110,All India ,1
1,101,Indian Institute of Technology Bhubaneswar,IIT,4110,"Computer Science and Engineering (4 Years, Bachelor of Technology)",82,All India ,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=101,Computer Science and Engineering (CSE),4 Years,Bachelor of Technology,Bachelor of Technology,Computer Science and Engineering,82,All India ,1
2,101,Indian Institute of Technology Bhubaneswar,IIT,4111,"Electrical Engineering (4 Years, Bachelor of Technology)",81,All India ,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=101,Electrical and Electronics Engineering (EEE),4 Years,Bachelor of Technology,Bachelor of Technology,Electrical Engineering,81,All India ,1
3,101,Indian Institute of Technology Bhubaneswar,IIT,4114,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",54,All India ,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=101,Electronics and Communication Engineering (ECE),4 Years,Bachelor of Technology,Bachelor of Technology,Electronics and Communication Engineering,54,All India ,1
4,101,Indian Institute of Technology Bhubaneswar,IIT,4117,"Engineering Physics (4 Years, Bachelor of Technology)",20,All India ,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=101,Physics,4 Years,Bachelor of Technology,Bachelor of Technology,Engineering Physics,20,All India ,1
5,101,Indian Institute of Technology Bhubaneswar,IIT,4125,"Mechanical Engineering (4 Years, Bachelor of Technology)",109,All India ,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=101,Mechanical Engineering,4 Years,Bachelor of Technology,Bachelor of Technology,Mechanical Engineering,109,All India ,1
6,101,Indian Institute of Technology Bhubaneswar,IIT,4127,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",40,All India ,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=101,Metallurgical and Materials Engineering,4 Years,Bachelor of Technology,Bachelor of Technology,Metallurgical and Materials Engineering,40,All India ,1
7,102,Indian Institute of Technology Bombay,IIT,4101,"Aerospace Engineering (4 Years, Bachelor of Technology)",71,All India ,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=102,Aerospace / Aeronautical Engineering,4 Years,Bachelor of Technology,Bachelor of Technology,Aerospace Engineering,71,All India ,1
8,102,Indian Institute of Technology Bombay,IIT,4107,"Chemical Engineering (4 Years, Bachelor of Technology)",123,All India ,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=102,Chemical Engineering,4 Years,Bachelor of Technology,Bachelor of Technology,Chemical Engineering,123,All India ,1
9,102,Indian Institute of Technology Bombay,IIT,4109,"Civil Engineering (4 Years, Bachelor of Technology)",130,All India ,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=102,Civil Engineering,4 Years,Bachelor of Technology,Bachelor of Technology,Civil Engineering,130,All India ,1
